series,1980,1990,2000,2010
"Population ages 00-04, female",1891249,1539217,1522449,1092895
"Population ages 00-04, male",2054550,1742903,1726569,1199713
"Population ages 05-09, female",2180337,1851292,1614073,1195296
"Population ages 05-09, male",2355265,2015234,1878181,1329988
"Population ages 10-14, female",2162733,1890145,1460152,1553184
"Population ages 10-14, male",2329897,2032890,1660924,1750211
"Population ages 15-19, female",2106425,2156918,1830777,1624464
"Population ages 15-19, male",2265422,2289992,2031058,1897586
"Population ages 20-24, female",2027062,2079228,1861606,1499967
"Population ages 20-24, male",2153977,2317142,2126523,1765263
"Population ages 25-29, female",1518431,2150454,2097571,1808092
"Population ages 25-29, male",1594083,2241859,2234017,1987890
"Population ages 30-34, female",1223203,2007947,2043357,1880698
"Population ages 30-34, male",1323688,2152103,2178026,2013665
"Population ages 35-39, female",1104959,1463448,2089001,2074739
"Population ages 35-39, male",1164862,1603113,2226356,2191313
"Population ages 40-44, female",1057390,1175101,1953344,2078315
"Population ages 40-44, male",1105350,1290811,2092861,2184288
"Population ages 45-49, female",897192,1044119,1407849,2041500
"Population ages 45-49, male",862043,1093269,1506630,2146868
